対象県（富山/石川/福井）	アンケート回答日	居住都道府県	性別	年代	職業	世帯年収	同伴者	満足度（旅行全体）	満足度理由	おすすめ度	回答場所
福井	2025/6/5 14:00	滋賀県	女	30代		300万円以上 400万円未満	自分ひとり	5	綺麗で車も停めやすい	9	道の駅「若狭おばま」 エリア
福井	2025/6/5 13:47	岐阜県	男	70代		500万円以上 600万円未満	夫婦2人	4		5	道の駅「越前」 エリア
福井	2025/6/5 13:47	岐阜県	女	60代		100万円未満	夫婦2人	3		6	道の駅「越前」 エリア
福井	2025/6/5 13:40	福井県	女	50代		分からない/無回答	自分ひとり	5		10	六呂師高原 エリア
福井	2025/6/5 13:34	福井県	女	50代		100万円以上 200万円未満	友人	4		7	道の駅「越前おおの荒島の郷」 エリア
福井	2025/6/5 13:25	滋賀県	女	40代		600万円以上 700万円未満	夫婦2人	5		10	若狭フィッシャーマンズワーフ エリア
福井	2025/6/5 13:20	兵庫県	女	60代		600万円以上 700万円未満	夫婦2人	5	綺麗です	10	大本山 永平寺 エリア
福井	2025/6/5 13:06	福井県	男	40代		600万円以上 700万円未満	親	5		10	今庄宿 エリア
福井	2025/6/5 12:55	愛知県	女	70代		分からない/無回答	夫婦2人	5		8	越前そばの里 エリア
福井	2025/6/5 12:48	岐阜県	女	60代		100万円未満	夫婦2人	5	お土産用の袋もサービスで数が多かったので嬉しかったです。	7	越前そばの里 エリア
福井	2025/6/5 12:36	東京都	男	60代		100万円未満	その他家族	4		10	竹田エリア
福井	2025/6/5 12:34	福井県	男	40代		800万円以上 900万円未満	夫婦2人	5		9	越前そばの里 エリア
福井	2025/6/5 12:21	福井県	女	50代		400万円以上 500万円未満	夫婦2人	4		8	越前そばの里 エリア
福井	2025/6/5 12:16	岐阜県	男	70代		500万円以上 600万円未満	夫婦2人	5		10	越前そばの里 エリア
福井	2025/6/5 11:49	栃木県	女	50代		200万円以上 300万円未満	自分ひとり	3		7	大本山 永平寺 エリア
福井	2025/6/5 11:29	福井県	女	50代		分からない/無回答	親	4		10	越前そばの里 エリア
福井	2025/6/5 11:18	福井県	男	50代		500万円以上 600万円未満	夫婦2人	3		2	越前そばの里 エリア
福井	2025/6/5 10:43	福井県	男	60代		100万円未満	夫婦2人	4		7	道の駅みくに ふれあいパーク三里浜 エリア
福井	2025/6/5 10:42	福井県	女	60代		100万円以上 200万円未満	夫婦2人	4		8	道の駅みくに ふれあいパーク三里浜 エリア
福井	2025/6/5 10:10	山形県	男	40代		500万円以上 600万円未満	自分ひとり	4		8	三国湊 エリア
福井	2025/6/5 9:56	福井県	男	60代		100万円未満	夫婦2人	4		7	花の駅 ゆりの里公園 エリア
福井	2025/6/5 9:56	福井県	女	60代		100万円以上 200万円未満	夫婦2人	4		7	花の駅 ゆりの里公園 エリア
福井	2025/6/5 9:45	京都府	女	50代		300万円以上 400万円未満	職場の同僚	4		8	赤礁崎オートキャンプ場 エリア
福井	2025/6/5 9:39	東京都	女	50代		700万円以上 800万円未満	夫婦2人	5		10	かつやま恐竜の森 エリア
福井	2025/6/5 8:42	奈良県	女	40代		500万円以上 600万円未満	夫婦2人	4		8	JR美浜駅 エリア
福井	2025/6/5 8:33	福井県	女	50代		900万円以上 1,000万円未満	友人	5	話を聞いて見学をしたら、とても面白かったです。	10	河野北前船主通りエリア
福井	2025/6/5 7:27	大阪府	女	50代		分からない/無回答	夫婦2人	5		10	熊川宿 エリア
福井	2025/6/6 23:47	神奈川県	女	50代		800万円以上 900万円未満	中学生以上連れの家族	5	綺麗な施設でした。音が反響しているのも、よい演出効果が出ている気がします。	6	かつやま恐竜の森 エリア
福井	2025/6/6 22:57	福井県	女	40代		1,000万円以上 1,200万円未満	小学生以下連れの家族	5		9	あわら湯のまち エリア
福井	2025/6/6 21:11	福井県	女	50代		500万円以上 600万円未満	友人	5		10	あわら湯のまち エリア
福井	2025/6/6 19:49	大阪府	女	60代		300万円以上 400万円未満	夫婦2人	4		7	越前海岸 高佐米ノ旅館街 エリア
福井	2025/6/6 17:42	大阪府	女	60代		200万円以上 300万円未満	中学生以上連れの家族	3		7	竹田エリア
福井	2025/6/6 17:40	福井県	女	40代		300万円以上 400万円未満	自分ひとり	5		5	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/6 17:37	大阪府	男	70代		200万円以上 300万円未満	中学生以上連れの家族	4		5	竹田エリア
福井	2025/6/6 17:23	福井県	男	50代		700万円以上 800万円未満	自分ひとり	4		7	福井駅前 エリア
福井	2025/6/6 17:01	埼玉県	女	20代		1,500万円以上	友人	4	時間的にディノパークの方は行くことがなかったが、本館の常設展示で十分楽しめた。また別の機会には新館やディノパークをより楽しみたい。	9	かつやま恐竜の森 エリア
福井	2025/6/6 16:56	神奈川県	男	50代		900万円以上 1,000万円未満	夫婦2人	5		8	かつやま恐竜の森 エリア
福井	2025/6/6 16:55	愛知県	男	30代		700万円以上 800万円未満	小学生以下連れの家族	5		9	かつやま恐竜の森 エリア
福井	2025/6/6 16:17	神奈川県	男	50代		1,200万円以上 1,500万円未満	職場の同僚	4		9	JR芦原温泉駅 エリア
福井	2025/6/6 16:11	東京都	女	40代		200万円以上 300万円未満	自分ひとり	5	福井駅から観光地へ向かうのはもちろん、少し駅でのんびりするのも良いなと思いました。駅にコンセントの使えるフリー席があったのは嬉しかったです！	10	福井駅前 エリア
福井	2025/6/6 15:54	東京都	女	40代		200万円以上 300万円未満	自分ひとり	5	永平寺は緑が多くとても癒されました。平日でしたので混雑もなく、ゆっくり過ごせました。	9	大本山 永平寺 エリア
福井	2025/6/6 15:06	大阪府	女	50代		1,200万円以上 1,500万円未満	夫婦2人	5	ホテルのおもてなし何特に良かった	9	あわら湯のまち エリア
福井	2025/6/6 14:55	静岡県	女	60代		200万円以上 300万円未満	夫婦2人	4		6	かつやま恐竜の森 エリア
福井	2025/6/6 14:54	岐阜県	男	70代		500万円以上 600万円未満	夫婦2人	3		5	熊川宿 エリア
福井	2025/6/6 14:52	福井県	女	60代		100万円以上 200万円未満	その他家族	5		8	まちの市場 こってコテいけだ エリア
福井	2025/6/6 14:51	滋賀県	女	20代		200万円以上 300万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/6/6 14:49	岐阜県	女	60代		100万円未満	夫婦2人	4		6	熊川宿 エリア
福井	2025/6/6 14:43	大阪府	女	60代		200万円以上 300万円未満	中学生以上連れの家族	3		7	大本山 永平寺 エリア
福井	2025/6/6 14:41	滋賀県	女	60代		100万円未満	夫婦2人	4		10	かずら橋 エリア
福井	2025/6/6 14:39	大阪府	男	70代		200万円以上 300万円未満	中学生以上連れの家族	4		5	大本山 永平寺 エリア
福井	2025/6/6 14:28	香川県	男	30代		100万円未満	自分ひとり	4		9	レインボーライン エリア
福井	2025/6/6 14:12	東京都	男	50代		1,500万円以上	友人	4		8	大本山 永平寺 エリア
福井	2025/6/6 14:12	東京都	女	50代		500万円以上 600万円未満	職場の同僚	4		9	大本山 永平寺 エリア
福井	2025/6/6 14:05	兵庫県	女	70代		500万円以上 600万円未満	夫婦2人	3	トイレは治しておいた方が良いかと	7	道の駅「禅の里」 エリア
福井	2025/6/6 13:40	東京都	女	40代		1,000万円以上 1,200万円未満	親	5		10	かつやま恐竜の森 エリア
福井	2025/6/6 13:28	富山県	男	50代		200万円以上 300万円未満	自分ひとり	3		5	越前大野城・城下町 エリア
福井	2025/6/6 13:26	大阪府	男	60代		600万円以上 700万円未満	夫婦2人	4		10	大本山 永平寺 エリア
福井	2025/6/6 12:58	埼玉県	男	60代		500万円以上 600万円未満	自分ひとり	3		7	越前大野城・城下町 エリア
福井	2025/6/6 12:01	福井県	無回答	50代		400万円以上 500万円未満	自分ひとり	3		3	越前大野城・城下町 エリア
福井	2025/6/6 11:58	福井県	男	30代		400万円以上 500万円未満	自分ひとり	3		7	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/6 11:57	大阪府	男	20代		300万円以上 400万円未満	恋人	4		10	かつやま恐竜の森 エリア
福井	2025/6/6 10:42	福井県	女	50代		400万円以上 500万円未満	その他家族	4		4	越前大野城・城下町 エリア
福井	2025/6/6 10:27	長野県	男	50代		500万円以上 600万円未満	団体旅行	3		5	日本海さかな街 エリア
福井	2025/6/6 10:12	福井県	無回答	50代		400万円以上 500万円未満	自分ひとり	5		2	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/6 9:22	福井県	男	50代		800万円以上 900万円未満	自分ひとり	3		6	越前大野城・城下町 エリア
福井	2025/6/6 7:03	兵庫県	女	60代		200万円以上 300万円未満	夫婦2人	5		7	越前海岸 くりや旅館街 エリア
福井	2025/6/6 5:49	兵庫県	男	70代		200万円以上 300万円未満	夫婦2人	5		10	越前海岸 くりや旅館街 エリア
福井	2025/6/6 5:11	宮城県	男	30代		500万円以上 600万円未満	小学生以下連れの家族	4		8	かつやま恐竜の森 エリア
福井	2025/6/6 3:16	福井県	男	50代		1,000万円以上 1,200万円未満	職場の同僚	4	立ち寄るのが好き	8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/6/6 0:55	福井県	男	50代		300万円以上 400万円未満	職場の同僚	5		10	越前そばの里 エリア
福井	2025/6/7 22:32	滋賀県	女	20代		200万円以上 300万円未満	恋人	5		9	道の駅「西山公園」 エリア
福井	2025/6/7 22:04	愛知県	男	50代		900万円以上 1,000万円未満	親	4		7	越前大仏 エリア
福井	2025/6/7 21:40	大阪府	女	60代		200万円以上 300万円未満	中学生以上連れの家族	3		7	福井駅前 エリア
福井	2025/6/7 20:17	石川県	女	50代		200万円以上 300万円未満	中学生以上連れの家族	4	今回初めて気になってた足湯を利用させてもらいました。気持ちよかったです。	10	道の駅「禅の里」 エリア
福井	2025/6/7 20:14	滋賀県	女	60代		600万円以上 700万円未満	小学生以下連れの家族	4		10	あわら湯のまち エリア
福井	2025/6/7 20:09	石川県	女	50代		200万円以上 300万円未満	中学生以上連れの家族	5	施設がとても綺麗トイレもそこが一番重要だからいつきても沢山の人	10	道の駅「越前おおの荒島の郷」 エリア
福井	2025/6/7 20:00	石川県	女	50代		200万円以上 300万円未満	中学生以上連れの家族	5	イベントがあったからかいつも以上に活気があった	9	JR九頭竜湖駅 エリア
福井	2025/6/7 19:57	大阪府	男	70代		200万円以上 300万円未満	中学生以上連れの家族	3		5	福井駅前 エリア
福井	2025/6/7 19:04	富山県	男	40代		1,500万円以上	自分ひとり	3		5	JR敦賀駅前 エリア
福井	2025/6/7 18:54	愛知県	女	40代		500万円以上 600万円未満	夫婦2人	4		7	福井駅前 エリア（宿泊施設）
福井	2025/6/7 18:51	兵庫県	女	50代		400万円以上 500万円未満	夫婦2人	5		5	熊川宿 エリア
福井	2025/6/7 18:40	愛知県	男	20代		500万円以上 600万円未満	職場の同僚	5		10	小浜 エリア（宿泊施設）
福井	2025/6/7 18:34	大阪府	女	30代		分からない/無回答	親	5		7	越前大野城・城下町 エリア
福井	2025/6/7 18:32	和歌山県	女	30代		600万円以上 700万円未満	職場の同僚	3		3	一乗谷朝倉氏遺跡 エリア
福井	2025/6/7 18:25	東京都	女	50代		400万円以上 500万円未満	職場の同僚	5		8	福井駅前 エリア
福井	2025/6/7 17:15	京都府	女	50代		1,000万円以上 1,200万円未満	友人	4		6	JR美浜駅 エリア
福井	2025/6/7 17:01	福井県	男	50代		1,000万円以上 1,200万円未満	夫婦2人	4		10	道の駅「越前おおの荒島の郷」 エリア
福井	2025/6/7 16:58	福井県	女	50代		1,000万円以上 1,200万円未満	夫婦2人	5		8	道の駅「越前おおの荒島の郷」 エリア
福井	2025/6/7 16:51	大阪府	男	50代		600万円以上 700万円未満	友人	4		8	湖上館パムコ（水月湖）エリア
福井	2025/6/7 16:46	静岡県	男	30代		分からない/無回答	夫婦2人	4		7	あわら湯のまち エリア
福井	2025/6/7 16:46	京都府	女	30代		300万円以上 400万円未満	恋人	5	質問できるコーナがあり、わかりやすい解説で、興味が一層深まった	9	かつやま恐竜の森 エリア
福井	2025/6/7 16:44	大阪府	男	40代		500万円以上 600万円未満	職場の同僚	5	岩場ギリギリまで行けたのはとても良い経験でした。周りの人が落ちないかめちゃ心配でした。	9	東尋坊 エリア
福井	2025/6/7 16:44	京都府	男	50代		600万円以上 700万円未満	恋人	5		5	かつやま恐竜の森 エリア
福井	2025/6/7 16:36	福井県	男	70代		200万円以上 300万円未満	夫婦2人	3		8	かずら橋 エリア
福井	2025/6/7 16:26	大阪府	女	50代		分からない/無回答	友人	4		8	道の駅「三方五湖」  エリア
福井	2025/6/7 16:26	福井県	男	30代		500万円以上 600万円未満	小学生以下連れの家族	5		9	北潟湖 エリア
福井	2025/6/7 16:19	京都府	男	60代		100万円以上 200万円未満	夫婦2人	5		5	道の駅「若狭おばま」 エリア
福井	2025/6/7 16:17	福井県	女	70代		分からない/無回答	夫婦2人	4	フオーシーズンの川の眺望、清々しいです。	7	かずら橋 エリア
福井	2025/6/7 16:16	福井県	男	40代		200万円以上 300万円未満	友人	5		9	劔神社 エリア
福井	2025/6/7 16:11	埼玉県	男	30代		800万円以上 900万円未満	小学生以下連れの家族	4		10	かつやま恐竜の森 エリア
福井	2025/6/7 16:08	滋賀県	女	20代		100万円未満	恋人	5		3	道の駅「禅の里」 エリア
福井	2025/6/7 16:07	兵庫県	女	70代		500万円以上 600万円未満	夫婦2人	3	のんびりしていない	5	まちの市場 こってコテいけだ エリア
福井	2025/6/7 16:00	埼玉県	男	60代		500万円以上 600万円未満	自分ひとり	4		8	大本山 永平寺 エリア
福井	2025/6/7 15:44	福井県	男	70代		400万円以上 500万円未満	小学生以下連れの家族	3		6	越前大野城・城下町 エリア
福井	2025/6/7 15:43	大阪府	女	60代		100万円以上 200万円未満	その他家族	4		8	越前大野城・城下町 エリア
福井	2025/6/7 15:27	兵庫県	女	40代		分からない/無回答	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/6/7 15:23	滋賀県	女	20代		100万円未満	恋人	4		2	かつやま恐竜の森 エリア
福井	2025/6/7 15:22	滋賀県	女	60代		400万円以上 500万円未満	夫婦2人	5		9	越前大野城・城下町 エリア
福井	2025/6/7 14:55	静岡県	男	60代		200万円以上 300万円未満	小学生以下連れの家族	4		9	かつやま恐竜の森 エリア
福井	2025/6/7 14:54	福井県	男	50代		200万円以上 300万円未満	親	4		7	うみんぴあ大飯 エリア
福井	2025/6/7 14:51	福井県	女	40代		100万円未満	中学生以上連れの家族	5		9	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/7 14:32	福井県	男	50代		600万円以上 700万円未満	自分ひとり	4		7	越前大野城・城下町 エリア
福井	2025/6/7 14:30	福井県	女	60代		分からない/無回答	夫婦2人	4	ゆっくりとした時間をすごす	4	越前大野城・城下町 エリア
福井	2025/6/7 14:29	福井県	女	60代		分からない/無回答	夫婦2人	4		10	越前大野城・城下町 エリア
福井	2025/6/7 14:27	福井県	女	20代		300万円以上 400万円未満	恋人	4		7	越前大野城・城下町 エリア
福井	2025/6/7 14:27	岐阜県	女	50代		分からない/無回答	その他家族	4		8	越前海岸 北部 エリア
福井	2025/6/7 14:27	岐阜県	男	50代		分からない/無回答	夫婦2人	4		8	越前海岸 北部 エリア
福井	2025/6/7 14:20	福井県	女	40代		500万円以上 600万円未満	夫婦2人	4		5	かずら橋 エリア
福井	2025/6/7 14:19	神奈川県	男	40代		500万円以上 600万円未満	その他家族	5		9	道の駅みくに ふれあいパーク三里浜 エリア
福井	2025/6/7 14:17	福井県	女	60代		300万円以上 400万円未満	夫婦2人	5		10	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/7 14:12	滋賀県	男	20代		200万円以上 300万円未満	その他家族	5		9	湖上館パムコ（水月湖）エリア
福井	2025/6/7 14:05	兵庫県	男	50代		分からない/無回答	自分ひとり	4		7	美浜町レイクセンター エリア
福井	2025/6/7 14:04	兵庫県	女	70代		500万円以上 600万円未満	夫婦2人	4		7	福井駅前 エリア
福井	2025/6/7 13:44	福井県	男	60代		分からない/無回答	夫婦2人	5		8	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/7 13:39	新潟県	女	50代		500万円以上 600万円未満	自分ひとり	5		10	大本山 永平寺 エリア
福井	2025/6/7 13:38	京都府	女	50代		600万円以上 700万円未満	その他家族	5	実演を見学、良かった。	10	うるしの里 エリア
福井	2025/6/7 13:35	京都府	女	50代		100万円未満	その他家族	5		10	うるしの里 エリア
福井	2025/6/7 13:34	滋賀県	男	20代		100万円以上 200万円未満	その他家族	4		9	湖上館パムコ（水月湖）エリア
福井	2025/6/7 13:30	石川県	女	60代		100万円未満	自分ひとり	4		5	北潟湖 エリア
福井	2025/6/7 13:28	大阪府	女	60代		200万円以上 300万円未満	中学生以上連れの家族	4		9	かつやま恐竜の森 エリア
福井	2025/6/7 13:28	大阪府	男	70代		200万円以上 300万円未満	中学生以上連れの家族	4		6	かつやま恐竜の森 エリア
福井	2025/6/7 13:27	石川県	男	50代		600万円以上 700万円未満	恋人	5		10	大本山 永平寺 エリア
福井	2025/6/7 13:25	兵庫県	女	40代		1,200万円以上 1,500万円未満	小学生以下連れの家族	4		7	かつやま恐竜の森 エリア
福井	2025/6/7 13:19	大阪府	男	40代		800万円以上 900万円未満	親	4		5	道の駅「越前」 エリア
福井	2025/6/7 13:19	福井県	男	50代		1,000万円以上 1,200万円未満	自分ひとり	4		9	まちの市場 こってコテいけだ エリア
福井	2025/6/7 13:19	愛知県	女	60代		200万円以上 300万円未満	夫婦2人	5		8	丸岡城 エリア
福井	2025/6/7 13:06	福井県	男	40代		300万円以上 400万円未満	小学生以下連れの家族	4		9	道の駅「若狭おばま」 エリア
福井	2025/6/7 12:53	福井県	男	10代		600万円以上 700万円未満	家族	5		8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/6/7 12:52	愛知県	男	30代		1,200万円以上 1,500万円未満	夫婦2人	5		9	かつやま恐竜の森 エリア
福井	2025/6/7 12:52	大阪府	女	30代		400万円以上 500万円未満	夫婦2人	5		5	かつやま恐竜の森 エリア
福井	2025/6/7 12:46	福井県	女	30代		100万円以上 200万円未満	親	4		7	日本海さかな街 エリア
福井	2025/6/7 12:45	福井県	男	60代		400万円以上 500万円未満	自分ひとり	3		5	道の駅「禅の里」 エリア
福井	2025/6/7 12:40	福井県	男	30代		500万円以上 600万円未満	夫婦2人	4		9	劔神社 エリア
福井	2025/6/7 12:29	岐阜県	男	50代		分からない/無回答	夫婦2人	4		8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/6/7 12:29	福井県	男	50代		500万円以上 600万円未満	その他家族	5		9	越前大仏 エリア
福井	2025/6/7 12:28	岐阜県	女	50代		分からない/無回答	その他家族	4		8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/6/7 12:25	京都府	男	30代		600万円以上 700万円未満	その他家族	5		10	道の駅「若狭おばま」 エリア
福井	2025/6/7 12:23	東京都	女	50代		400万円以上 500万円未満	職場の同僚	5		8	かつやま恐竜の森 エリア
福井	2025/6/7 12:22	福井県	男	50代		500万円以上 600万円未満	その他家族	5		9	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/7 12:22	三重県	女	40代		1,000万円以上 1,200万円未満	小学生以下連れの家族	4		8	かずら橋 エリア
福井	2025/6/7 12:21	福井県	女	20代		200万円以上 300万円未満	恋人	5		7	三国湊 エリア
福井	2025/6/7 12:20	岐阜県	女	50代		800万円以上 900万円未満	夫婦2人	3		5	道の駅「南えちぜん山海里」 エリア
福井	2025/6/7 12:15	東京都	女	40代		800万円以上 900万円未満	恋人	4		7	越前大野城・城下町 エリア
福井	2025/6/7 12:08	東京都	男	50代		900万円以上 1,000万円未満	恋人	4		8	越前大野城・城下町 エリア
福井	2025/6/7 11:56	神奈川県	男	40代		500万円以上 600万円未満	その他家族	5	展示以外にも公園で遊んでおり、飽きさせない施設があり良かったです。	9	かつやま恐竜の森 エリア
福井	2025/6/7 11:43	神奈川県	無回答	30代		400万円以上 500万円未満	親	4		8	美浜町レイクセンター エリア
福井	2025/6/7 11:40	埼玉県	女	20代		1,500万円以上	友人	4	木造建築が綺麗だった	8	大本山 永平寺 エリア
福井	2025/6/7 11:38	岐阜県	女	50代		分からない/無回答	その他家族	4		8	道の駅「西山公園」 エリア
福井	2025/6/7 11:37	岐阜県	男	50代		分からない/無回答	夫婦2人	4		8	道の駅「西山公園」 エリア
福井	2025/6/7 11:32	愛知県	男	50代		300万円以上 400万円未満	職場の同僚	5		10	越前海岸 高佐米ノ旅館街 エリア
福井	2025/6/7 11:28	岐阜県	女	70代		100万円以上 200万円未満	夫婦2人	4		8	かずら橋 エリア
福井	2025/6/7 11:25	大阪府	女	50代		800万円以上 900万円未満	夫婦2人	4	食事が美味しくボリュームが有る	8	若狭高浜 エリア
福井	2025/6/7 11:21	大阪府	女	30代		400万円以上 500万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/6/7 11:03	新潟県	女	50代		500万円以上 600万円未満	自分ひとり	3		10	かつやま恐竜の森 エリア
福井	2025/6/7 11:00	福井県	男	50代		800万円以上 900万円未満	夫婦2人	4		9	レインボーライン エリア
福井	2025/6/7 10:56	滋賀県	男	20代		100万円以上 200万円未満	その他家族	5		9	レインボーライン エリア
福井	2025/6/7 10:56	福井県	男	50代		600万円以上 700万円未満	自分ひとり	5		10	かつやま恐竜の森 エリア
福井	2025/6/7 10:54	愛知県	女	50代		300万円以上 400万円未満	恋人	5		9	金ヶ崎 エリア
福井	2025/6/7 10:50	富山県	男	40代		1,500万円以上	自分ひとり	4		6	金ヶ崎 エリア
福井	2025/6/7 10:41	富山県	男	40代		1,500万円以上	自分ひとり	4		7	敦賀市立博物館 エリア
福井	2025/6/7 10:21	大阪府	男	10歳未満		600万円以上 700万円未満	小学生以下連れの家族	5		10	かつやま恐竜の森 エリア
福井	2025/6/7 10:16	福井県	女	30代		600万円以上 700万円未満	中学生以上連れの家族	5		10	竹田エリア
福井	2025/6/7 10:13	兵庫県	男	40代		700万円以上 800万円未満	夫婦2人	4		6	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/7 10:13	兵庫県	女	40代		100万円未満	夫婦2人	5		3	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/6/7 9:54	石川県	女	50代		700万円以上 800万円未満	夫婦2人	5		10	JR美浜駅 エリア
福井	2025/6/7 9:48	大阪府	女	60代		200万円以上 300万円未満	中学生以上連れの家族	3		7	丸岡城 エリア
福井	2025/6/7 9:48	大阪府	男	70代		200万円以上 300万円未満	中学生以上連れの家族	4		5	丸岡城 エリア
福井	2025/6/7 9:21	岐阜県	女	50代		1,000万円以上 1,200万円未満	親	5		8	あわら湯のまち エリア
福井	2025/6/7 9:13	愛知県	男	60代		500万円以上 600万円未満	夫婦2人	4		7	越前そばの里 エリア
福井	2025/6/7 9:12	福井県	男	60代		1,200万円以上 1,500万円未満	自分ひとり	4		7	JR九頭竜湖駅 エリア
福井	2025/6/7 8:21	愛知県	女	60代		100万円未満	小学生以下連れの家族	4	オールインクルーシブ宿のサービスがよかった。	6	あわら湯のまち エリア
福井	2025/6/7 8:14	京都府	男	30代		400万円以上 500万円未満	小学生以下連れの家族	5		8	花の駅 ゆりの里公園 エリア
福井	2025/6/7 8:08	大阪府	男	60代		400万円以上 500万円未満	団体旅行	4		8	あわら湯のまち エリア
福井	2025/6/7 7:52	福井県	男	40代		100万円未満	自分ひとり	5		8	竹田エリア
福井	2025/6/7 7:44	石川県	女	50代		800万円以上 900万円未満	その他家族	4	自然と歴史にふれられた	8	あわら湯のまち エリア
福井	2025/6/7 7:08	神奈川県	男	40代		500万円以上 600万円未満	その他家族	5	利用時に子供を連れて行きましたが、皆優しく声を掛けてくれて子供も嬉しそうでした。	8	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/6/7 1:05	福井県	女	50代		800万円以上 900万円未満	友人	4		8	あわら湯のまち エリア
福井	2025/6/8 22:56	愛知県	女	30代		600万円以上 700万円未満	小学生以下連れの家族	4		9	あわら湯のまち エリア
福井	2025/6/8 22:53	愛知県	女	30代		600万円以上 700万円未満	小学生以下連れの家族	5		9	東尋坊 エリア
福井	2025/6/8 22:36	福井県	女	50代		分からない/無回答	友人	5		10	北潟湖 エリア
福井	2025/6/8 22:14	石川県	女	50代		分からない/無回答	夫婦2人	4		8	越前陶芸村 エリア
福井	2025/6/8 22:09	石川県	女	50代		分からない/無回答	夫婦2人	3		3	道の駅「パークイン丹生ヶ丘」 エリア
福井	2025/6/8 21:38	京都府	女	50代		700万円以上 800万円未満	親	4	いちご狩りも出来る施設とは思ってなくて、便利でびっくりしました。	5	越前そばの里 エリア
福井	2025/6/8 21:37	滋賀県	女	50代		分からない/無回答	家族	3		5	熊川宿 エリア
福井	2025/6/8 21:25	滋賀県	男	50代		400万円以上 500万円未満	自分ひとり	4		8	道の駅「若狭おばま」 エリア
福井	2025/6/8 21:24	福井県	女	40代		200万円以上 300万円未満	友人	4	みなさん穏やかで優しくて居心地が良かったです	7	波松 エリア
福井	2025/6/8 21:14	滋賀県	女	20代		400万円以上 500万円未満	恋人	5	道が広く運転もしやすくて満足した	6	金ヶ崎 エリア
福井	2025/6/8 21:05	奈良県	男	30代		400万円以上 500万円未満	自分ひとり	4	おてがみの施設の知名度はもっとあって良い。1つ1つクスってなったり、ニヒルや喜怒哀楽など短い文章ながら思いを感じられて良い時間だった。西伊予市とのコラボ企画も相性が良いと思った。ターゲット層考えると、城巡りの人とのシナジーは薄いか。	7	丸岡城 エリア
福井	2025/6/8 21:04	大阪府	男	60代		600万円以上 700万円未満	自分ひとり	5		3	若狭和田 エリア
福井	2025/6/8 21:03	愛知県	女	40代		200万円以上 300万円未満	小学生以下連れの家族	5	恐竜博物館リニューアルしたので、子どもが楽しみにしていました。3面シアターが見られなかったのは残念でしたが、しっかり楽しめました。	10	かつやま恐竜の森 エリア
福井	2025/6/8 20:49	愛知県	男	40代		1,500万円以上	小学生以下連れの家族	4		9	えちぜん鉄道 永平寺口駅 エリア
福井	2025/6/8 19:55	福井県	女	40代		600万円以上 700万円未満	小学生以下連れの家族	3		5	北潟湖 エリア
福井	2025/6/8 19:24	石川県	女	50代		分からない/無回答	夫婦2人	5		8	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/6/8 19:06	岐阜県	男	70代		400万円以上 500万円未満	夫婦2人	4		9	美浜町レイクセンター エリア
福井	2025/6/8 18:48	兵庫県	女	50代		600万円以上 700万円未満	自分ひとり	4		8	越前和紙の里 エリア
福井	2025/6/8 18:42	千葉県	男	30代		1,000万円以上 1,200万円未満	夫婦2人	5	恐竜博物館の複製含めた化石展示数が圧巻だった。	10	かつやま恐竜の森 エリア
福井	2025/6/8 18:42	福井県	女	50代		100万円未満	夫婦2人	3		2	竹田エリア
福井	2025/6/8 17:48	愛知県	男	40代		400万円以上 500万円未満	恋人	4		10	熊川宿 エリア
福井	2025/6/8 17:32	岐阜県	女	20代		600万円以上 700万円未満	夫婦2人	5		9	美浜町レイクセンター エリア
福井	2025/6/8 16:39	福井県	男	30代		200万円以上 300万円未満	恋人	4		8	道の駅「南えちぜん山海里」 エリア
福井	2025/6/8 16:35	神奈川県	女	50代		800万円以上 900万円未満	中学生以上連れの家族	3		8	福井駅前 エリア
福井	2025/6/8 16:30	福井県	女	50代		600万円以上 700万円未満	小学生以下連れの家族	4		6	道の駅「越前おおの荒島の郷」 エリア
福井	2025/6/8 16:30	愛知県	男	50代		1,200万円以上 1,500万円未満	夫婦2人	4	ツーリングの道が良い	10	かずら橋 エリア
福井	2025/6/8 16:26	福井県	女	50代		1,200万円以上 1,500万円未満	友人	5	城周辺が綺麗に整備され、以前より景観が良くなりました。癒されます	6	越前大野城・城下町 エリア
